"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"","きつい, キツイ, キツい","tough, hard, severe, demanding, harsh; determined, strong-minded, forceful, formidable, fierce; strong (e.g. sunlight, alcohol), severe, intense; (too) tight, constricting, close; extreme, unusually strong"
"気づく","きづく, きずく","to notice, to realize, to realise, to become aware (of), to perceive, to sense, to suspect; to regain consciousness, to come to (one's senses), to come round"
"気に入る","きにいる","to like, to be pleased with, to be delighted with, to take a liking to, to suit one's fancy"
"記入","きにゅう","entry (in a form, register, diary, etc.), filling in, filling out"
"記念","きねん","commemoration, celebration, remembrance, memory, honoring the memory of; memento, souvenir, keepsake"
"機能","きのう","function, facility, faculty, feature"
"気の毒","きのどく","pitiful, unfortunate, poor, miserable, wretched; unpardonable, regrettable"
"寄付","きふ","contribution, donation"
"基本","きほん","basics, fundamentals, basis, foundation"
"希望","きぼう","hope, wish, aspiration; (bright) prospects, expectation"
"決まり","きまり","rule, regulation; settlement, conclusion, end, agreement, arrangement; habit, custom, habitual way; countenance in front of another person, face; love relationship between a customer and a prostitute"
"気味","きみ, きび","sensation, feeling; tendency, propensity"
"奇妙","きみょう","strange, odd, peculiar, queer, curious"
"","キャプテン","captain"
"","キャンプ","camp, camping"
"旧","きゅう","old, former, ex-; the old, old things, old customs; old times, bygone days; Japan's old (lunisolar) calendar"
"球","きゅう","sphere, globe, ball, bulb; ball, sphere; counter for pitches"
"九","きゅう, く, ここの, この, ここ","nine, 9"
"級","きゅう","(school) grade, year, class; class, grade, rank, level; kyu (junior rank in martial arts, go, shogi, etc.)"
"休暇","きゅうか","holiday, vacation, day off, time off, leave, furlough"
"休憩","きゅうけい","rest, break, recess, intermission"
"急激","きゅうげき","sudden, abrupt, rapid, sharp, drastic, radical"
"吸収","きゅうしゅう","absorption, suction, attraction"
"救助","きゅうじょ","relief, aid, rescue"
"急速","きゅうそく","rapid (e.g. progress)"
"急に","きゅうに","swiftly, rapidly, quickly, immediately, hastily, hurriedly; suddenly, abruptly, unexpectedly; sharply (of a slope, bend, etc.), steeply"
"給料","きゅうりょう","salary, wages, pay"
"今日","きょう, こんにち, こんち, こんじつ","today, this day; these days, recently, nowadays"
"教科書","きょうかしょ","textbook, coursebook, schoolbook"
"供給","きょうきゅう","supply, provision"
"競技","きょうぎ","game, match, contest, competition, sport, (sporting) event"
"教師","きょうし","teacher, instructor"
"教授","きょうじゅ","professor; teaching, instruction"
"強調","きょうちょう","emphasis, stress, highlighting, underlining, underscoring; accentuating (a feature or certain part), accenting; strong tone (of the market), firm tone"
"共通","きょうつう","common, shared, mutual; to be common (to), to be shared (by); -wide"
"共同","きょうどう","cooperation, collaboration, association, partnership, (acting in) unison; community, communal use, common possession, sharing"
"恐怖","きょうふ, くふ","fear, dread, dismay, terror, horror, scare, panic"
"協力","きょうりょく","cooperation, collaboration, help, support"
"強力","きょうりょく","powerful, strong"
"許可","きょか","permission, approval, authorization, license"
"局","きょく","bureau, department; office (e.g. post, telephone), broadcasting station (e.g. television, radio), channel, exchange; affair, situation; game (of go, shogi, etc.)"
"巨大","きょだい","huge, gigantic, enormous"
"器用","きよう","skillful, skilful, adroit, dexterous, dextrous, deft, nimble, handy; clever, shrewd, ingenious"
"嫌う","きらう","to hate, to dislike, to loathe"
"霧","きり","fog, mist; spray"
"切れ","きれ","piece, slice, strip, scrap; cloth; sharpness; agility; counter for scraps, pieces, etc."
"切れる","きれる","to break, to snap, to be cut, to split, to crack; to be injured; to wear out, to be worn out; to break, to burst, to collapse; to wear off, to stop working, to go dead; to expire (time limit, etc.), to run out, to become due; to run out (of stock, etc.), to be exhausted, to be used up, to be sold out, to be out of; to be broken off (e.g. of a relationship), to break up, to have severed ties, to be cut off, to be disconnected; to cut well, to be sharp; to be sharp-minded, to be keen, to be shrewd, to be quick-witted, to be able; to be short of, to drop under (a certain figure), to beat (e.g. a record time); to dry off; to curve, to veer; to shuffle (cards); to get angry, to snap, to blow one's top, to lose one's temper, to flip; to be able to do completely"
"","キロ","kilo-, 1000; kilogram, kilogramme; kilometre, kilometer; kilo-, 1024, 2^10"
"記録","きろく","record, document, minutes, recording, putting on record, keeping a record (of), writing down; record (e.g. in sports), setting (a record), recording (a record high, etc.)"
"金","きん","gold (metal); gold (color); gold (medal), first place (prize); something of great value, something golden (e.g. silence); money, gold coin; sum (of money); Friday; karat (measure of purity of gold), carat; metal (fourth phase of Wu Xing); Jin dynasty (of China; 1115-1234), Chin dynasty, Jurchen dynasty; gold general; testicles"
"禁煙","きんえん","abstaining from smoking, quitting smoking; prohibition of smoking; No Smoking, Smoking Prohibited"
"金額","きんがく","amount of money, sum"
"金庫","きんこ","safe, strongbox, cashbox, vault, strongroom; depository, cash office, treasury, provider of funds"
"禁止","きんし","prohibition, inhibition, ban"
"金銭","きんせん","money, cash"
"金属","きんぞく","metal"
"近代","きんだい","present day, modern times, recent times; early modern period (in Japan, usu. from the Meiji Restoration until the end of World War II)"
"緊張","きんちょう","tension, strain, nervousness, stress; tensions (between countries, groups, etc.); tonus, muscle tone"
"筋肉","きんにく","muscle"
"金融","きんゆう","finance, financing, credit transacting, loaning of money, circulation of money; monetary, financial, credit"
"金曜","きんよう","Friday"
"議員","ぎいん","member of an assembly, member of the Diet, member of parliament, member of Congress"
"議会","ぎかい","congress, parliament, diet, legislative assembly"
"技師","ぎし","engineer, technician"
"議長","ぎちょう","chair, chairman, chairperson, speaker (of an assembly), president (of a council, senate, etc.)"
"義務","ぎむ","duty, obligation, responsibility"
"疑問","ぎもん","doubt, question, suspicion, dubiousness"
"逆","ぎゃく","reverse, opposite; converse (of a hypothesis, etc.); inverse (function)"
"行儀","ぎょうぎ","manners, behavior, behaviour"
"議論","ぎろん","argument, discussion, dispute, controversy"
"銀","ぎん","silver (Ag); silver (color); silver (medal, prize, etc.); silver coin; silver general; bank; money"
"句","く","section (i.e. of text), sentence, passage, paragraph; phrase; verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry); haiku, first 17 morae of a renga, etc.; maxim, saying, idiom, expression; clause (e.g. in a database query language)"
"食う","くう","to eat; to live, to make a living, to survive; to bite, to sting (as insects do); to tease, to torment, to taunt, to make light of, to make fun of; to encroach on, to eat into, to consume; to defeat a superior, to threaten a position; to consume time, to consume resources; to receive something (usu. an unfavourable event); to have sexual relations with a woman, esp. for the first time"
"臭い","くさい, くせー, くっせー","stinking, smelly; suspicious, fishy; hammy (acting), over-the-top, cheesy; clumsy, unskilled; (overly) gamey, strong-tasting; smelling of; looking like, appearing like, smacking of, -ish"
"鎖","くさり","chain, chains"
"腐る","くさる","to rot, to go bad, to decay, to spoil, to fester, to decompose, to turn sour (e.g. milk); to corrode, to weather, to crumble; to become useless, to blunt, to weaken (from lack of practice); to become depraved, to be degenerate, to be morally bankrupt, to be corrupt; to be depressed, to be dispirited, to feel discouraged, to feel down; to have the audacity to, to be bastard enough to; to lose a bet; to be drenched, to become sopping wet"
"癖","くせ, へき, クセ","habit (usu. a bad one), tendency; peculiarity, idiosyncrasy, mannerism, quirk; crease, wrinkle, curl, kink"
"下さる","くださる","to give, to confer, to bestow; to kindly do for one, to oblige, to favour, to favor"
"下り","くだり","down-train, train heading toward the ending point of its route; down-slope, downward going; downbound (esp. away from Tokyo); downstream, downhill"
"苦痛","くつう","pain, agony, suffering, distress, torment"
"区別","くべつ","distinction, differentiation, discrimination, difference"
"組合","くみあい","association, union, guild"
"組","くみ","class (of students); group (of people), party, team, crew; lot, bunch, set; crime family, organized-crime syndicate; set (of items), assortment, deck (of cards), pack; typesetting, composition"
"組む","くむ","to cross (legs or arms), to link (arms); to put together, to construct, to assemble, to produce (e.g. TV program); to braid, to plait; to grapple, to wrestle; to unite, to join, to link up, to form an alliance; to set (e.g. type); to issue (e.g. money order)"
"曇り","くもり","cloudiness, cloudy weather; fog (on a mirror, glasses, etc.), cloud (e.g. in marble), blur, mist, shadow, dimness; gloom, dejection"
"位","くらい","throne, crown, (nobleman's) seat; government position, court rank; social standing, rank, class, echelon, rung; grade (of quality, etc.), level, tier, rank; position of a figure (e.g. tens, thousands), digit, (decimal) place"
"暮らし","くらし, ぐらし","(way of) life, living, livelihood, life circumstances"
"","クラシック, クラッシック, クラッシク","classical music; classic, classical; classic (work), the classics"
"暮らす","くらす","to live, to get along; to spend (time)"
"繰り返す","くりかえす","to repeat, to do over again"
"","クリスマス","Christmas"
"","クリーム","cream; ice cream"
"狂う","くるう","to go mad, to lose one's mind, to go crazy, to go insane; to get out of order, to go amiss, to malfunction, to become imprecise; to go wrong (of a plan or expectation, etc.), to fall through, to get mixed up; to go crazy (over someone or something), to get enthusiastic, to go wild"
"苦しい","くるしい","painful, difficult, tough, hard; distressing, (psychologically) difficult, stressful, awkward (e.g. position); straitened (circumstances), tight (financial situation), needy, struggling; strained (interpretation, explanation, etc.), lame (e.g. excuse), forced (e.g. smile), far-fetched; hard to do, unpleasant"
"苦しむ","くるしむ","to suffer, to groan, to be worried"
"暮れ","くれ","sunset, sundown, nightfall, dusk; end, close; year-end, end of the year"
"苦労","くろう","trouble, hardship, difficulty, labour, labor, toil, pains; anxiety, worry, concern, cares"
"加える","くわえる","to add, to add up, to sum up, to append, to annex; to increase, to gather (e.g. speed), to pick up; to include, to count in, to let join; to inflict (damage), to deal, to give"
"詳しい","くわしい","detailed, full, minute; knowing very well, knowledgeable (about), well-acquainted (with), well-informed (about), familiar (with)"
"加わる","くわわる","to be added to, to be appended; to join in (e.g. a group of friends), to participate; to increase (e.g. heat), to gain in (e.g. influence), to grow, to gather (speed); to be applied (e.g. heat, pressure), to be exerted"
"訓","くん, くに","native Japanese reading of a Chinese character; precept, lesson, one's teachings"
"訓練","くんれん","training, drill, practice, discipline"
"偶然","ぐうぜん","coincidence, chance, accident, fortuity; by chance, unexpectedly, accidentally; contingency"
"具体","ぐたい","concreteness, embodiment"
"","ぐっすり, グッスリ","soundly (sleeping), fast (asleep)"
"","グラス","grass"
"","グランド","grand, large"
"","グループ","group (usu. of people)"
"軍","ぐん","army, armed forces, troops; military authorities; team, group, troupe"
"軍隊","ぐんたい","armed forces, military, troops"
"計","けい","plan; meter, measuring device; (in) total, total (of)"
"敬意","けいい","respect, honour, honor"
"経営","けいえい","management, administration, operation, running (a business), conducting"
"計画","けいかく","plan, project, schedule, scheme, program, programme"
"景気","けいき","business conditions, the market, economic activity, economic climate; good (economic) times, prosperity, boom; liveliness, energy, vigour, vigor, spirit"
"経験","けいけん","experience"
"傾向","けいこう","tendency, trend, inclination"
"警告","けいこく","warning, caution, admonition; keikoku (penalty in judo)"
"計算","けいさん","calculation, computation, reckoning, counting, adding up, working out, figures; consideration, calculation, estimation, expectation"
"掲示","けいじ","notice, bulletin, post, posting, placard"
"刑事","けいじ","(police) detective; criminal matter"
"契約","けいやく","contract, compact, agreement"
"経由","けいゆ, けいゆう","going through, going via, going by way of"
"怪我","けが, ケガ","injury, wound; mistake, accident, loss"
"化粧","けしょう, けわい, けそう","make-up, makeup, cosmetics; decoration, dressing, veneer"
"吝嗇","ケチ, けち","stinginess, miserliness, penny-pinching, miser, pinchpenny, skinflint, cheapskate, tightwad, niggard; shabby, cheap, mangy, poor, paltry; petty, narrow-minded, mean-spirited, small-minded; bad luck, ill omen, misfortune, jinx"
"結果","けっか","result, consequence, outcome, effect; as a result of ..., as a consequence of ..., after ..., following ...; bearing fruit, fruiting"
"欠陥","けっかん","defect, fault, flaw, deformity, deficiency, shortage, gap"
"結局","けっきょく","after all, in the end, ultimately, eventually; conclusion, end; end of a game of go, shogi, etc."
"決心","けっしん","determination, resolution"
"欠席","けっせき","absence, non-attendance"
"決定","けってい","decision, determination"
"欠点","けってん","fault, defect, flaw, weak point, weakness, shortcoming, drawback; failure (in an examination), failing grade"
"結論","けつろん","conclusion (of an argument, discussion, study, etc.); conclusion"
"煙","けむり, けむ, けぶ, けぶり","smoke, fumes"
"券","けん","ticket, coupon, bond, certificate"
"県","けん","prefecture (of Japan), county (of China, Taiwan, Norway, etc.), department (of France), province (of Italy, Spain, etc.)"
"軒","けん","counter for buildings (esp. houses); suffix for a pen name, stage name, etc."
"喧嘩","けんか, ケンカ","quarrel, brawl, fight, squabble, scuffle, argument"
"見解","けんかい","opinion, point of view"
"健康","けんこう","health; healthy, sound, fit, wholesome"
"検査","けんさ","inspection (e.g. customs, factory), examination, test, check, scan (e.g. MRI, PET), audit"
"建設","けんせつ","construction, establishment"
"建築","けんちく","construction, architecture (of buildings)"
"検討","けんとう","consideration, examination, investigation, study, scrutiny, discussion, analysis, review"
"見当","けんとう","estimate, guess, conjecture, aim; direction, bearings; registration mark (printing); approximately, about, around"
"憲法","けんぽう, けんぼう","constitution; rules, regulation"
"権利","けんり","right, privilege"
"","ケース","case (container); case (instance, situation); case"
"下","げ","lowness (of degree, value, etc.), inferiority; second volume (of two), third volume (of three)"
"芸術","げいじゅつ","art, the arts"
"劇","げき","drama, play; powerful drug"
"劇場","げきじょう","theatre, theater, playhouse"
"月曜","げつよう","Monday"
"限界","げんかい","limit, bound"
"現金","げんきん","cash, ready money, money on hand, currency; mercenary, self-interested, calculating"
"言語","げんご, ごんご, げんきょ","language"
"現在","げんざい","the present, present time, now; as of; present tense; this world, this life; to actually exist, to exist right now, to exist right in front of one"
"現象","げんしょう","phenomenon"
"現実","げんじつ","reality, actuality, hard fact"
"現状","げんじょう","present condition, existing state, status quo, current state"
"現代","げんだい","present age, present day, today; modern era, modern times"
"現場","げんば, げんじょう","actual spot, scene (of a crime, accident, etc.); (on) site, (on) the ground, (in) the field, job site; filming location, (movie) set"
"","ゲーム","game"
"恋","こい","(romantic) love"
"濃い","こい","deep (colour), dark; strong (flavour, smell, etc.); thick (consistency), dense; strong (possibility, etc.); thick (i.e. ""as thick as thieves""), close, deep (love, etc.)"
"恋人","こいびと","lover, sweetheart, boyfriend, girlfriend"
"幸運","こううん","good luck, fortune"
"講演","こうえん","lecture, address, speech"
"効果","こうか","effect, effectiveness, efficacy, result; effects (e.g. sound effects, visual effects, special effects)"
"高価","こうか","highly priced, expensive, valuable, costly"
"硬貨","こうか","coin; hard currency"
"交換","こうかん","exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)"
"航空","こうくう","aviation, flying"
"光景","こうけい","scene, spectacle, sight, view"
"貢献","こうけん","contribution (furthering a goal or cause), services (to a cause); paying tribute, tribute"
"攻撃","こうげき","attack, assault, raid, onslaught, offensive; criticism, censure, denunciation, condemnation"
"広告","こうこく","advertisement, advertising; announcement, notice"
"交際","こうさい","company, friendship, association, society, acquaintance; (romantic) involvement, dating"
"後者","こうしゃ","the latter, the second; successor, descendant"
"工場","こうじょう, こうば","factory, plant, mill, workshop"
"構成","こうせい","composition, construction, formation, makeup, structure, organization, organisation"
"高速","こうそく","high-speed, rapid, express; highway, freeway, expressway, motorway"
"行動","こうどう","action, conduct, behaviour, behavior, mobilization, mobilisation"
"幸福","こうふく","happiness, well-being, joy, welfare, blessedness"
"公平","こうへい","fairness, impartiality, justice, objectivity"
"候補","こうほ","candidate, contender, prospect, pick, choice, list; candidacy, candidature, nomination"
"考慮","こうりょ","consideration, taking into account"
"越える","こえる","to cross over, to cross, to pass through, to pass over (out of), to go beyond, to go past; to exceed, to surpass, to be more (than)"
"氷","こおり","ice; shaved ice (usually served with flavored simple syrup)"
"凍る","こおる","to freeze, to become frozen, to freeze over"
"呼吸","こきゅう","breathing, respiration; knack, trick, secret (of doing something); harmony, balance, synchronization, accord; short interval, short pause"
"故郷","こきょう","hometown, birthplace, native place, one's old home"
"国語","こくご","national language; Japanese language (esp. as a school subject in Japan); one's native language, mother tongue; native Japanese words (as opposed to loanwords and Chinese-derived words)"
"黒板","こくばん","blackboard"
"克服","こくふく","conquest (of a difficulty, illness, crisis, etc.), overcoming, surmounting, bringing under control"
"国民","こくみん","people (of a country), nation, citizen, national; Democratic Party for the People"
"穀物","こくもつ","grain, cereal, corn"
"此処","ここ","here, this place; this point, here, now; these past ... (e.g. three years), these last ...; the next ... (e.g. few days), these next ..."
"腰","こし, コシ","lower back, waist, hips, lumbar region; body (of hair, noodle, paper, etc.), resilience, spring"
"故障","こしょう","fault, trouble, breakdown, failure, being out of order; damage (to a part of the body), injury, hurt; problem, hitch, obstacle, hindrance; objection, protest"
"個人","こじん","individual, private person, personal, private; natural person"
"越す","こす","to cross over (e.g. mountain), to go across; to get over (e.g. hardship); to pass time (e.g. a winter); to surpass, to be better than, to exceed; to move house; to go, to come"
"国家","こっか","state, country, nation"
"国会","こっかい","National Diet, legislative assembly of Japan (1947-); Imperial Diet, legislative assembly of Japan (1889-1947); legislative assembly, parliament, congress"
"国境","こっきょう, くにざかい","border (between countries), national border"
"骨折","こっせつ","bone fracture"
"小包","こづつみ","parcel, package"
"事","こと","thing, matter; incident, occurrence, event, something serious, trouble, crisis; circumstances, situation, state of affairs; work, business, affair; after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to; nominalizing suffix; pretending to ..., playing make-believe ...; alias, also known as, otherwise known as, or; necessity, need; you should ..., I advise that you ..., it's important to ..."
"異なる","ことなる","to differ, to be different, to disagree, to vary, to diverge"
"諺","ことわざ","proverb, saying, aphorism, maxim"
"断る","ことわる","to refuse, to reject, to dismiss, to turn down, to decline; to inform, to give notice, to ask in advance (and get approval), to get permission; to ask leave, to excuse oneself (from)"
"粉","こな, こ","flour, meal, powder, dust"
"此の","この, こん","this; last (couple of years, etc.), these, past, this; you (as in ""you liar"")"
"好み","このみ","liking, taste, fancy, fondness; wish, desire, choice, preference"
"好む","このむ","to like, to prefer"
"","コピー","copy, photocopy; book jacket blurb; (advertising) slogan"
"小麦","こむぎ","wheat"
"小屋","こや, しょうおく","hut, cabin, shed, (animal) pen; small theatre (theater), temporary playhouse, circus tent, booth; one's own house"
"これ等","これら","these"
"頃","ころ, ごろ","(approximate) time, around, about, toward; suitable time (or condition); time of year, season"
"殺す","ころす","to kill, to slay, to murder, to slaughter; to suppress, to block, to hamper, to destroy (e.g. talent), to eliminate (e.g. an odour), to spoil (e.g. a flavour), to kill (e.g. one's speed); to suppress (a voice, feelings, etc.), to hold back, to stifle (a yawn, laugh, etc.), to hold (one's breath); to put out (a runner); to pawn, to put in hock"
"転ぶ","ころぶ, まろぶ","to fall down, to fall over; to turn out, to play out; to abandon Christianity (and convert to Buddhism), to apostatize; to roll, to tumble; (for a geisha) to prostitute (herself) in secret"
"今回","こんかい","this time, now"
"今後","こんご","from now on, hereafter"
"混雑","こんざつ","congestion, crush, crowding, jam; confusion, disorder"
"","こんなに","so, like this, in this way, this much, to this extent"
"困難","こんなん","difficulty, hardship, trouble, distress; infeasibility, inability (to carry out)"
"今日は","こんにちは, こんにちわ, こにちわ, こにちは","hello, good day, good afternoon"
"","コンピュータ, コンピューター","computer"
"婚約","こんやく","engagement, betrothal"
"混乱","こんらん","disorder, chaos, confusion, mayhem"
"","コーチ","coach"
"","コード","code, program; code, regulation, rules; code, symbol set"
"後","ご","after"
"語","ご","word, term; language; speech"
"豪華","ごうか","extravagant, lavish, opulent, luxurious, magnificent, splendid, fancy, gorgeous"
"合格","ごうかく","passing (an exam), pass, success, passing grade; meeting (specifications, standards, etc.), passing (inspection), qualification, being found eligible"
"合計","ごうけい","sum total, total amount"
"強盗","ごうとう","robber, mugger; robbery, burglary"
"誤解","ごかい","misunderstanding"
"語学","ごがく","study of foreign languages; linguistics"
"極","ごく","quite, very; 10^48, quindecillion"
"塵","ゴミ, ごみ","rubbish, trash, garbage, refuse, litter"
"御免なさい","ごめんなさい","I'm sorry, my apologies, excuse me, pardon me"
"","ゴール","goal (in soccer, hockey, etc.), basket (in basketball); finish line, finishing line, winning post; reaching the finish line, finishing (a race); goal, objective"
"差","さ","difference, variation; difference"
"際","さい","occasion, time, circumstances, (in) case (of), when"
"最高","さいこう, サイコー","best, supreme, wonderful, finest; highest, maximum, most, uppermost, supreme"
"最終","さいしゅう","last, final, closing; last train (bus, flight, etc.; of the day)"
"最中","さいちゅう, さなか","(in) the middle of, (in) the midst of, (in) the course of, (at) the height of"
"最低","さいてい, サイテー","least, lowest, minimum; worst; awful, horrible, nasty, disgusting; at the very least"
"才能","さいのう","talent, ability"
"裁判","さいばん","trial, judgement, judgment"
"幸い","さいわい","happiness, blessedness, luck, fortune, felicity; luckily, fortunately"
"","サイン","autograph, signature; sign, signal, indication"
"境","さかい, きょう","border, boundary; turning point, watershed; area, region, spot, space, environment; psychological state, mental state; cognitive object, something perceptible by the sense organs or mind"
"魚","さかな, うお","fish"
"逆らう","さからう","to go against, to oppose, to disobey, to defy"
"盛り","さかり","height (e.g. of summer), peak (e.g. of cherry blossom season), (in) season, full bloom, full swing (of a party, etc.); prime (of one's life), (one's) best days, bloom; (being in) heat, rut"
"作業","さぎょう","work, operation, task"
"昨","さく","last (year), yesterday"
"作品","さくひん","work (e.g. book, film, painting, composition), piece, production, opus"
"作物","さくもつ","crop, crops, (agricultural) produce, farm products"
"桜","さくら, サクラ","cherry tree, cherry blossom; fake buyer, paid audience, shill, seat filler; hired applauder; horse meat"
"酒","さけ","alcohol, sake"
"叫ぶ","さけぶ","to shout, to cry (out), to scream, to shriek, to yell, to exclaim; to clamor (for or against), to advocate, to insist, to protest, to appeal"
"避ける","さける, よける","to avoid (physical contact with); to avoid (situation), to evade (question, subject), to shirk (one's responsibilities); to ward off, to avert; to put aside, to move out of the way"
"支える","ささえる","to support, to prop, to sustain, to underlay, to hold up, to defend; to hold at bay, to stem, to check"
"指す","さす","to point; to nominate, to select someone, to specify some person; to identify, to indicate, to point out; to play (a game of shogi), to move (a piece); to extend one's arm straight ahead (in dance)"
"誘う","さそう, いざなう","to invite, to ask (someone to do), to call (for), to take (someone) along; to tempt, to lure, to entice, to seduce; to induce (tears, laughter, sleepiness, etc.), to arouse (e.g. sympathy), to provoke"
"作家","さっか","author, writer, novelist, artist"
"作曲","さっきょく","composition (of music), setting, writing music"
"","さっぱり","feeling refreshed, feeling relieved; neat, tidy, clean; frank, open-hearted, plain, simple, light; completely, entirely; not in the least (with neg. verb), not at all; nothing at all, completely useless, hopeless, awful"
"札","さつ","banknote, bill, note, paper money"
"偖","さて","well, now, then"
"砂漠","さばく","desert"
"差別","さべつ, しゃべつ, しゃべち","distinction, differentiation, discrimination; discrimination (against people)"
"作法","さほう, さくほう","manners, etiquette, propriety; manner of production (esp. of prose, poetry, etc.), way of making"
"様々","さまざま","various, varied, diverse, all sorts of"
"覚ます","さます","to awaken, to arouse from sleep; to bring to one's senses, to disabuse (someone of); to sober up; to dampen, to throw a damper on, to spoil"
"覚める","さめる","to wake, to wake up; to become sober, to sober up, to regain consciousness (e.g. after anaesthesia); to come to one's senses, to be disillusioned"
"左右","さゆう, そう, さう","left and right, right and left; (asserting) control, influence, domination; one's attendants, people accompanying one; (serving at someone's) side; equivocation"
"皿","さら","plate, dish, platter, disc; serving, helping, course; kanji radical 108 (at the bottom)"
"更に","さらに","furthermore, again, after all, more and more, moreover, even more"
"猿","さる, サル","monkey (esp. the Japanese macaque, Macaca fuscata), ape, non-human primate; sly person; idiot, hick; sliding wooden bolt (for holding a door or window shut); clasp used to control the height of a pot-hook; bathhouse prostitute"
"去る","さる","to leave, to go away; to pass, to elapse; to be distant; to send away, to drive off, to divorce; to (do) completely; last ... (e.g. ""last April"")"
"騒ぎ","さわぎ","uproar, disturbance"
"参加","さんか","participation, joining, entry"
"参考","さんこう","reference, consultation"
"賛成","さんせい","approval, agreement, support, favour, favor"
"酸素","さんそ","oxygen (O)"
"散歩","さんぽ","walk, stroll"
"","サービス, サーヴィス","service, help, assistance, care, concern; discount, discounted item; free service, freebie, gift; service, utility, amenity, resource; (after-sales) service, servicing, (product) maintenance; service (e.g. in tennis), serve"
"財産","ざいさん","property, fortune, assets"
"材料","ざいりょう","materials, ingredients; material (for a novel, experiment, etc.), subject matter; grounds (for a decision, judgement, etc.), basis, evidence, data; (market) factor"
"座席","ざせき","seat"
"","ざっと","roughly, approximately, round about, more or less; cursorily, briefly, quickly, lightly, roughly"
"詩","し","poem, poetry, verse; Chinese poem"
"四","し, よん, よ","four, 4"
"氏","し","Mr, Mrs, Ms, Miss; clan; he, him; counter for people"
"幸せ","しあわせ, しやわせ","happiness, good fortune, luck, blessing"
"然も","しかも","moreover, furthermore; nevertheless, and yet"
"叱る","しかる","to scold, to chide, to rebuke, to reprimand"
"式","しき","way, style, fashion, method, system, form, type; ceremony, rite, ritual, celebration; wedding (ceremony); equation, formula, expression; enforcement regulations (of the ritsuryō legal codes)"
"支給","しきゅう","provision, supply, payment, allowance, grant"
"頻りに","しきりに","frequently, repeatedly, often, incessantly, constantly; eagerly, keenly, strongly, intently; hard, terribly, extremely, severely"
"刺激","しげき","stimulus, stimulation, irritation (esp. of the body, e.g. skin, eyes); impetus, impulse, stimulus, spur, incentive, encouragement, stimulation, motivation, provocation; excitement, thrill"
"資源","しげん","resources"
"支出","ししゅつ","expenditure, disbursement, expenses"
"詩人","しじん","poet"
"沈む","しずむ","to sink, to go under, to submerge; to go down (e.g. sun), to set, to descend; to feel depressed, to become subdued, to become somber"
"自然","しぜん","nature; natural, spontaneous, automatic; naturally, spontaneously, automatically"
"思想","しそう","thought, idea, ideology"
"舌","した","tongue; tongue-like object, clapper (of a bell), talon (of a lock), reed (of a musical instrument)"
"従う","したがう","to obey (an order, law, etc.), to abide by (a rule, custom, etc.), to follow, to observe, to conform to, to yield to; to follow (a person), to accompany, to go with; to go alongside (e.g. a river), to follow (e.g. a sign); to serve (as), to engage in (work)"
"従って","したがって","therefore, consequently, accordingly"
"支度","したく","preparation, arrangements"
"親しい","したしい","close (e.g. friend), familiar, friendly, intimate; familiar (e.g. story), well-known (to one); close (relatives), closely related"
"次第","しだい","depending on; as soon as, immediately after, upon; as (e.g. ""as one is told"", ""as one wishes""), whatever (e.g. ""whatever is at hand""); order, program, programme, precedence; circumstances, course of events, state of things; reason"
"七","しち, なな, ひち, な","seven"
"質","しつ","quality, value; nature, inherent quality, character; logical quality"
"失業","しつぎょう","unemployment; losing one's job, becoming unemployed"
"失望","しつぼう","disappointment, despair"
"支店","してん","branch office, branch store"
"指導","しどう","guidance, leadership, instruction, direction, coaching; shido (minor penalty in judo)"
"品","しな","article, item, thing, goods, stock; quality; flirtatiousness, coquetry"
"支配","しはい","rule, domination, control; direction, management, guidance; control (of one's destiny, public opinion, etc.), governing, influence, sway; government"
"支払い","しはらい","payment"
"支払う","しはらう","to pay"
"芝居","しばい","play, drama"
"屡々","しばしば","often, again and again, frequently, repeatedly"
"芝生","しばふ","lawn, grass"
"資本","しほん","funds, capital"
"死亡","しぼう","death, dying, mortality"
"姉妹","しまい, きょうだい","sisters"
"仕舞う","しまう","to finish, to stop, to end, to put an end to, to bring to a close; to close (a business, etc.), to close down, to shut down, to shut up; to put away, to put back, to keep, to store; to do completely, to finish; to do accidentally, to do without meaning to, to happen to do"
"仕舞った","しまった","darn it!, darn!, oops!, oh dear!, oh no!"
"示す","しめす","to (take out and) show, to demonstrate, to tell, to exemplify, to make apparent; to point out (finger, clock hand, needle, etc.); to indicate, to show, to represent, to signify, to display"
"占める","しめる","to occupy, to hold; to account for, to make up, to take up"
"霜","しも","frost; white hair, grey hair, gray hair"
"下","しも","lower reaches (of a river); bottom, lower part; lower half (of the body, esp. the privates), feces (faeces), urine, menses; end, far from the imperial palace (i.e. far from Kyoto, esp. of western Japan); dirty (e.g. dirty jokes, etc.)"
"借金","しゃっきん","debt, loan, liabilities, borrowing money; number of games under the .500 mark"
"喋る","しゃべる","to talk, to chat, to chatter"
"州","しゅう","state (of the US, Australia, India, Germany, etc.), province (e.g. of Canada), county (e.g. of the UK), region (e.g. of Italy), canton, oblast; continent; province (of Japan); province (of ancient China), prefecture, department; dear"
